card_id,disp_id,type,issued,issued_parsed
1,9,gold,981016 00:00:00,1998-10-16
2,19,classic,980313 00:00:00,1998-03-13
3,41,gold,950903 00:00:00,1995-09-03
4,42,classic,981126 00:00:00,1998-11-26
5,51,junior,950424 00:00:00,1995-04-24
7,56,classic,980611 00:00:00,1998-06-11
8,60,junior,980520 00:00:00,1998-05-20
9,76,classic,971025 00:00:00,1997-10-25
10,77,classic,961207 00:00:00,1996-12-07
11,79,gold,971025 00:00:00,1997-10-25
12,83,junior,960911 00:00:00,1996-09-11
13,87,classic,940629 00:00:00,1994-06-29
14,112,classic,960217 00:00:00,1996-02-17
15,114,classic,950305 00:00:00,1995-03-05
16,116,classic,980623 00:00:00,1998-06-23
17,127,classic,980607 00:00:00,1998-06-07
18,128,classic,950825 00:00:00,1995-08-25
19,130,classic,970909 00:00:00,1997-09-09
20,131,classic,981202 00:00:00,1998-12-02
21,132,classic,980226 00:00:00,1998-02-26
22,138,classic,970111 00:00:00,1997-01-11
23,146,classic,981003 00:00:00,1998-10-03
24,153,junior,960805 00:00:00,1996-08-05
25,158,classic,971206 00:00:00,1997-12-06
26,161,classic,980914 00:00:00,1998-09-14
27,167,junior,981115 00:00:00,1998-11-15
28,174,junior,980122 00:00:00,1998-01-22
29,192,classic,980820 00:00:00,1998-08-20
30,202,classic,971001 00:00:00,1997-10-01
31,208,classic,981021 00:00:00,1998-10-21
32,219,classic,980806 00:00:00,1998-08-06
33,221,junior,971203 00:00:00,1997-12-03
34,225,classic,980320 00:00:00,1998-03-20
35,231,classic,981007 00:00:00,1998-10-07
36,236,classic,980928 00:00:00,1998-09-28
37,238,classic,960420 00:00:00,1996-04-20
38,242,classic,960831 00:00:00,1996-08-31
39,254,classic,980714 00:00:00,1998-07-14
40,255,classic,961013 00:00:00,1996-10-13
41,256,classic,970831 00:00:00,1997-08-31
42,264,junior,980728 00:00:00,1998-07-28
43,267,classic,970829 00:00:00,1997-08-29
44,268,junior,960517 00:00:00,1996-05-17
45,272,classic,971205 00:00:00,1997-12-05
46,273,classic,981110 00:00:00,1998-11-10
47,280,classic,980813 00:00:00,1998-08-13
48,295,classic,980310 00:00:00,1998-03-10
49,305,classic,971003 00:00:00,1997-10-03
50,309,classic,970528 00:00:00,1997-05-28
51,321,classic,971121 00:00:00,1997-11-21
52,326,gold,980410 00:00:00,1998-04-10
53,333,classic,981013 00:00:00,1998-10-13
54,334,classic,970124 00:00:00,1997-01-24
55,335,classic,980125 00:00:00,1998-01-25
56,339,classic,981122 00:00:00,1998-11-22
57,347,classic,961109 00:00:00,1996-11-09
58,358,classic,980311 00:00:00,1998-03-11
59,365,classic,971027 00:00:00,1997-10-27
60,370,classic,981018 00:00:00,1998-10-18
61,374,classic,981018 00:00:00,1998-10-18
63,378,junior,980327 00:00:00,1998-03-27
64,402,classic,980510 00:00:00,1998-05-10
65,414,classic,980202 00:00:00,1998-02-02
66,425,classic,980708 00:00:00,1998-07-08
67,429,junior,980128 00:00:00,1998-01-28
68,434,classic,980131 00:00:00,1998-01-31
69,438,classic,970517 00:00:00,1997-05-17
70,439,classic,940208 00:00:00,1994-02-08
71,441,classic,980411 00:00:00,1998-04-11
72,447,classic,980309 00:00:00,1998-03-09
73,451,junior,980721 00:00:00,1998-07-21
74,453,classic,981018 00:00:00,1998-10-18
75,457,classic,970729 00:00:00,1997-07-29
76,464,classic,981223 00:00:00,1998-12-23
77,466,classic,980813 00:00:00,1998-08-13
78,468,classic,980804 00:00:00,1998-08-04
79,469,classic,980902 00:00:00,1998-09-02
80,471,classic,980625 00:00:00,1998-06-25
81,473,classic,971217 00:00:00,1997-12-17
82,474,classic,970507 00:00:00,1997-05-07
83,483,classic,980105 00:00:00,1998-01-05
84,487,classic,960626 00:00:00,1996-06-26
85,489,classic,951231 00:00:00,1995-12-31
86,490,classic,971128 00:00:00,1997-11-28
87,493,classic,961102 00:00:00,1996-11-02
88,496,classic,961104 00:00:00,1996-11-04
89,497,classic,980422 00:00:00,1998-04-22
90,503,classic,970604 00:00:00,1997-06-04
91,504,junior,970901 00:00:00,1997-09-01
92,508,classic,951120 00:00:00,1995-11-20
93,510,classic,971109 00:00:00,1997-11-09
94,513,classic,971106 00:00:00,1997-11-06
95,519,junior,980801 00:00:00,1998-08-01
96,528,classic,980826 00:00:00,1998-08-26
97,531,junior,950919 00:00:00,1995-09-19
98,537,classic,950906 00:00:00,1995-09-06
99,548,gold,961009 00:00:00,1996-10-09
100,562,gold,980221 00:00:00,1998-02-21
101,566,classic,980619 00:00:00,1998-06-19
102,575,classic,981112 00:00:00,1998-11-12
103,584,junior,960817 00:00:00,1996-08-17
104,588,classic,940119 00:00:00,1994-01-19
105,590,classic,970117 00:00:00,1997-01-17
106,592,classic,960114 00:00:00,1996-01-14
107,593,classic,950627 00:00:00,1995-06-27
108,597,classic,970625 00:00:00,1997-06-25
109,605,classic,980426 00:00:00,1998-04-26
110,608,classic,970531 00:00:00,1997-05-31
111,615,classic,980605 00:00:00,1998-06-05
112,626,junior,970119 00:00:00,1997-01-19
113,629,junior,951116 00:00:00,1995-11-16
115,638,classic,970730 00:00:00,1997-07-30
116,646,classic,981011 00:00:00,1998-10-11
117,649,junior,961123 00:00:00,1996-11-23
118,652,classic,951022 00:00:00,1995-10-22
119,655,classic,960808 00:00:00,1996-08-08
120,662,classic,970703 00:00:00,1997-07-03
121,666,junior,960722 00:00:00,1996-07-22
