loan_id,account_id,date,amount,duration,payments,status,year,avg_balance,min_balance,max_balance,total_transactions,avg_transaction_amount,total_credits,total_withdrawals,credit_withdrawal_ratio,client_id,age,gender,avg_salary,unemployment_rate,has_card,default
4959,2,1994-01-05,80952,24,3373,A,1994,36527.94255765199,1100.0,69302.0,477,6606.618448637317,151,326,0.46319018404907975,2,81,Male,12541,0.28999999165534973,0,0
4961,19,1996-04-29,30276,12,2523,B,1996,16288.927242524916,-10604.7,58157.5,301,5234.09634551495,150,151,0.9933774834437086,25,87,Female,9104,1.5099999904632568,0,1
4962,25,1997-12-08,30276,12,2523,A,1997,56471.61691176471,900.0,134209.9,272,10864.183823529413,81,191,0.42408376963350786,31,64,Male,9893,4.090000152587891,0,0
4967,37,1998-10-14,318480,60,5308,D,1998,37417.64140625,-1011.2,104761.5,128,7369.1953125,35,93,0.3763440860215054,45,74,Male,8547,2.6500000953674316,0,1
4968,38,1998-04-19,110736,48,2307,C,1998,34383.79224806202,13841.0,55991.1,129,4432.2558139534885,47,82,0.573170731707317,46,86,Female,8402,3.130000114440918,0,0
4973,67,1996-05-02,165960,24,6915,A,1996,56984.33578947369,700.0,134938.9,380,11878.46052631579,101,279,0.36200716845878134,78,82,Female,8427,1.1200000047683716,0,0
4986,97,1997-08-10,102876,12,8573,A,1997,39721.47977941176,900.0,67288.1,272,4483.6875,66,206,0.32038834951456313,116,84,Male,10673,4.75,1,0
4988,103,1997-12-06,265320,36,7370,D,1997,48401.94098360655,-1139.8,124757.9,183,9368.497267759563,82,101,0.8118811881188119,124,59,Male,8254,2.7899999618530273,0,1
4989,105,1998-12-05,352704,48,7348,C,1998,30424.377586206894,800.0,74693.6,58,8511.51724137931,29,29,1.0,127,76,Female,9104,1.5099999904632568,1,0
4990,110,1997-09-08,162576,36,4516,C,1997,45228.18413461539,900.0,79652.2,208,6870.870192307692,60,148,0.40540540540540543,132,73,Male,9198,3.3299999237060547,1,0
4996,132,1996-11-06,88440,12,7370,A,1996,52847.60512820513,200.0,144111.5,195,12908.666666666666,78,117,0.6666666666666666,158,81,Female,9317,6.489999771118164,1,0
5002,173,1994-05-31,104808,12,8734,A,1994,37341.09210526316,500.0,87881.9,570,4521.059649122807,155,415,0.37349397590361444,210,87,Male,8512,3.509999990463257,0,0
